ECM No.,LP,CD,Year,Artist,Title,Comments,Number,range
ECM 2020,NO,YES,2008,Enrico Rava / Stefano Bollani,The Third Man,,2020,20
ECM 2021/22,NO,YES,2007,"Keith Jarrett, Gary Peacock & Jack DeJohnette",My Foolish Heart - Live at Montreux,,2021,20
ECM 2023,NO,YES,2008,Bobo Stenson Trio,Cantando,,2023,20
ECM 2024?NS,NO,YES,2007,Gidon Kremer / Kremerata Baltica,,,2024,20
ECM 2027,NO,YES,2008,Marilyn Crispell,Vignettes,,2027,20
ECM 2047?NS,NO,YES,2009,Carolin Widmann / Denes Varjon,The Violin Sonatas,,2047,20
ECM 2059,NO,YES,2008,Mathais Eick,The Door,,2059,20
ECM 2060,NO,YES,2009,Keith Jarrett,Yesterdays,,2060,20
ECM 2064,,YES,2009,Enrico Rava,New York Days,,2064,20
ECM 2071?NS,NO,YES,2009,Ambrose Field & John Potter,Being Dufay,,2071,20
ECM 2077,NO,YES,2009,Jon Hassell,Last night the moon came dropping its clothes in the street,,2077,20
ECM 2085,NO,YES,2009,Ralph Towner / Paolo Fresu,Chiaroscuro,,2085,20
ECM 2130/32,NO,YES,2009,Keith Jarrett,Testament,,2130,21
ECM 2165,NO,YES,2010,Keith Jarrett / Charlie Haden,Jasmine,,2165,21
ECM 2168,NO,YES,2012,Marc Johnson / Eliane Elias,Swept Away,,2168,21
ECM 2178,NO,YES,2010,Nik Bärtsch's Ronin,Llyrìa,,2178,21
ECM 2189?NS,NO,YES,2013,John Holloway,Pavans and Fantasies from the Age of Dowland,,2189,21
ECM 2198/99,NO,YES,2011,Keith Jarrett,Rio,,2198,21
ECM 2200,NO,YES,2009,Keith Jarrett / Gary Peacock / Jack DeJohnette,Somewhere,,2200,22
ECM 2225?NS,NO,YES,2012,Arvo Pärt,Adam's Lament,,2225,22
ECM 2229?NS,NO,YES,2011,Heinz Holliger,Ich hatte viel Bekümmernis,,2229,22
ECM 2230/31?NS,NO,YES,2010,Michelle Makarski / Keith Jarrett,J.S.Bach Six Sonatas for Violin and Piano,,2230,22
ECM 2241/42?NS,NO,YES,2012,Alexei Lubimov,Préludes,,2241,22
ECM 2253?NS,NO,YES,2011,Harrison Birtwistle,Chamber Music,,2253,22
ECM 2270/73?NS,NO,YES,2012,András Schiff,Das Wohltemperierte Clavier,,2270,22
ECM 2276,NO,YES,2006,Quercus,,,2276,22
ECM 2310,NO,YES,2012,Ralph Towner / Wolfgang Muthspiel / Slava Grigoryan,Travel Guide,,2310,23
ECM 2324?NS,NO,YES,2012,Keller Quartett,Cantate e tranquillo,,2324,23
ECM 2334,NO,YES,2013,John Abercrombie Quartet,39 Steps,,2334,23
ECM 2345?NS,NO,YES,2013,Kim Kashkashian,Tre Voci,,2345,23
ECM 2349,NO,YES,2013,Wolfgang Muthspiel,Larry Grenadier Brian Blade Driftwood,,2349,23
ECM 2373,NO,YES,2008,Paul Bley,Play Blue - Oslo Concert,,2373,23
ECM 2378?NS,NO,YES,2015,Morton Feldman Erik Satie John Cage,Rothko Chapel,,2378,23
ECM 2388,,YES,2015,Kenny Wheeler,Songs for Quintet,,2388,23
ECM 2399,NO,YES,2007,Keith Jarrett / Charlie Haden,Last Dance,,2399,23
ECM 2420,,YES,2015,Vijay Iyer Trio,Break Stuff,,2420,24
ECM 2450,NO,YES,2015,Keith Jarrett,Creation,,2450,24
ECM 2454/55?NS,NO,YES,2015,Arvo Pärt,Musica Selecta,,2454,24
ECM 2463,NO,YES,2015,Pat Metheny,Homage a Eberhard Weber,,2463,24
ECM 2466?NS,NO,YES,2016,Vox Clamantis,Arvo Pärt: The Deer's Cry,,2466,24
ECM 2516,NO,YES,2017,Ralph Towner,My Foolish Heart,,2516,25
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
