Name,Artist,Composer,Album,Grouping,Work,Movement Number,Movement Count,Movement Name,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,Date Modified,Date Added,Bit Rate,Sample Rate,Volume Adjustment,Kind,Equalizer,Comments,Plays,Last Played,Skips,Last Skipped,My Rating,Location
Blue as in Bley,Ralph Towner,Ralph Towner,My Foolish Heart,,,,,,Jazz,8186449,233,1,1,11,12,2017,2017-05-13 20:36,2017-02-06 18:15,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Ralph Towner\My Foolish Heart\11 Blue as in Bley.m4a
Rewind,Ralph Towner,Ralph Towner,My Foolish Heart,,,,,,Jazz,7606074,223,1,1,12,12,2017,2017-05-13 20:36,2017-02-06 18:15,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Ralph Towner\My Foolish Heart\12 Rewind.m4a
Bend Over Backward,Steve Swallow,Steve Swallow,Always Pack Your Uniform On Top,,,,,,Jazz,25604830,691,1,1,1,6,2000,2017-05-29 17:38,2016-01-20 22:02,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Steve Swallow\Always Pack Your Uniform On Top\01 Bend Over Backward.m4a
Dog With a Bone,Steve Swallow,Steve Swallow,Always Pack Your Uniform On Top,,,,,,Jazz,14696044,372,1,1,2,6,2000,2017-05-29 17:38,2016-01-20 22:02,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Steve Swallow\Always Pack Your Uniform On Top\02 Dog With a Bone.m4a
Misery Loves Company,Steve Swallow,Steve Swallow,Always Pack Your Uniform On Top,,,,,,Jazz,17907655,468,1,1,3,6,2000,2017-05-29 17:38,2016-01-20 22:02,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Steve Swallow\Always Pack Your Uniform On Top\03 Misery Loves Company.m4a
Reinventing the Wheel,Steve Swallow,Steve Swallow,Always Pack Your Uniform On Top,,,,,,Jazz,16858215,468,1,1,4,6,2000,2017-05-29 17:38,2016-01-20 22:02,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Steve Swallow\Always Pack Your Uniform On Top\04 Reinventing the Wheel.m4a
Feet First,Steve Swallow,Steve Swallow,Always Pack Your Uniform On Top,,,,,,Jazz,16978653,446,1,1,5,6,2000,2017-05-29 17:38,2016-01-20 22:02,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Steve Swallow\Always Pack Your Uniform On Top\05 Feet First.m4a
La Nostalgie de la Boue,Steve Swallow,Steve Swallow,Always Pack Your Uniform On Top,,,,,,Jazz,16008012,410,1,1,6,6,2000,2017-05-29 17:38,2016-01-20 22:02,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Steve Swallow\Always Pack Your Uniform On Top\06 La Nostalgie de la Boue.m4a
Bite Your Grandmother,Steve Swallow,Steve Swallow,Real Book,,,,,,Jazz,11249552,286,1,1,1,10,1993,2017-05-29 19:42,2015-10-18 21:10,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Steve Swallow\Real Book\01 Bite Your Grandmother.m4a
Second Handy Motion,Steve Swallow,Steve Swallow,Real Book,,,,,,Jazz,11008679,289,1,1,2,10,1993,2017-05-29 19:42,2015-10-18 21:10,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Steve Swallow\Real Book\02 Second Handy Motion.m4a
